id,capitulo,fonte,tipo,confiabilidade,texto,atores,temas,citado_por,fonte_url
EV-0001-01,0001,cap 1,narracao,canonico,"A fruta foi roubada de um navio do Governo pelos Piratas do Ruivo, e um menino de sete anos chamado Monkey D. Luffy a encontrou largada e a comeu por engano, achando que era sobremesa.",Monkey D. Luffy|Shanks,Nika|Akuma no Mi|Luffy,H-10,https://onepiece.fandom.com/wiki/Nika
EV-0001-02,0001,titulo da obra,narracao,traducao_disputada,"O título da obra é escrito hitotsunagi no daihihou, o grande tesouro oculto, com hitotsunagi grafado em kana e não em kanji, o que deixa a leitura em aberto entre algo em uma peça só, aquilo que conecta pessoas e um mar em calmaria.",,One Piece|nome|traducao,H-13,https://thelibraryofohara.com/2022/01/04/what-is-the-one-piece-the-ultimate-one-piece-theory/
EV-0002-01,0002,cap 2,narracao,canonico,O título de Rei dos Piratas foi intrinsecamente ligado por Roger ao tesouro mítico conhecido como One Piece.,Gol D. Roger,One Piece|Rei dos Piratas,H-01,https://onepiece.fandom.com/wiki/Great_Pirate_Era
EV-0096-01,0096,cap 96,fala,canonico,"Woop Slap pergunta, sobre Luffy, se aquilo é o sonho dele ou o destino dele.",Woop Slap,destino|sonho|Luffy,,https://onepiece.fandom.com/wiki/Monkey_D._Luffy
EV-0099-01,0099,cap 99,narracao,canonico,Testemunhas da execução de Roger afirmam que ele sorriu pouco antes de morrer.,Gol D. Roger,riso|execucao|Vontade de D.,,https://onepiece.fandom.com/wiki/Gol_D._Roger
EV-0105-01,0105,cap 105,narracao,canonico,Laugh Tale é a ilha no fim do New World que supostamente guarda o tesouro chamado One Piece.,,Laugh Tale|One Piece,H-01,https://onepiece.fandom.com/wiki/Laugh_Tale
EV-0202-01,0202,cap 202,narracao,canonico,Nico Robin é uma das pouquíssimas pessoas vivas capazes de ler a língua antiga dos Poneglyphs.,Nico Robin,Poneglyphs|leitura,,https://onepiece.fandom.com/wiki/Void_Century
EV-0218-01,0218,cap 218,fala,canonico,"O sonho de Robin é descobrir a verdade do Século Perdido encontrando o Rio Poneglyph, que amarraria os fios da história.",Nico Robin|Nefertari Cobra,Rio Poneglyph|Seculo Perdido,H-04,https://onepiece.fandom.com/wiki/Void_Century
EV-0261-01,0261,cap 261,narracao,canonico,"A lápide erguida nas ruínas registra que a cidade se chamava Shandora, que prosperou há mais de 1100 anos e que seu povo desapareceu de forma inexplicada há 800 anos.",Nico Robin,Shandora|Seculo Perdido|datacao,,https://onepiece.fandom.com/wiki/Chapter_261
EV-0261-02,0261,cap 261,narracao,canonico,"Robin percebe que o desaparecimento do povo de Shandora há 800 anos cai exatamente dentro dos cem anos ausentes da história do mundo, e cogita que a ilha do céu tenha feito parte dessa história não contada.",Nico Robin,Shandora|Seculo Perdido|Skypiea,,https://onepiece.fandom.com/wiki/Chapter_261
