hipotese,relacao,evidencia,peso,justificativa
H-01,apoia,EV-0105-01,0.3,"A descrição corrente diz que Laugh Tale, a ilha no fim do New World, guarda o tesouro chamado One Piece, e tesouro no vocabulário pirata designa riqueza material."
H-01,apoia,EV-0002-01,0.25,"O título de Rei dos Piratas foi intrinsecamente ligado por Roger ao tesouro mítico conhecido como One Piece, e título de pirata se conquista tomando riqueza."
H-01,apoia,EV-0506-02,0.3,"Na execução Roger declarou que, tal como Joy Boy, havia escondido seu tesouro para que o próximo Rei dos Piratas o encontrasse: esconder é o verbo que se usa para bem material."
H-01,apoia,EV-0576-01,0.15,"Barba Branca declarou que quando o One Piece for encontrado haverá uma guerra que engolfará o mundo inteiro, e disputa mundial por um bem é o comportamento típico de riqueza concentrada."
H-01,contradiz,EV-0972-02,0.45,"Os Piratas de Roger leram a mensagem, aprenderam a verdadeira história e decidiram deixar tudo como estava por terem chegado cedo demais; ninguém deixa para trás uma montanha de ouro por motivo de calendário."
H-01,contradiz,EV-1190-03,0.4,"Gaban diz conhecer as palavras de Joy Boy e não ter intenção de segui-las: o que a tripulação trouxe de Laugh Tale são palavras, e palavras não são ouro."
H-01,contradiz,EV-0301-01,0.35,"Diz-se que ao chegar a Laugh Tale levando as passagens dos Poneglyphs recolhidas na viagem o Rio Poneglyph será finalmente revelado, ou seja, o que espera na ilha é texto e exige leitura."
H-01,contradiz,EV-1121-01,0.35,Vegapunk afirma que o destino do mundo será decidido por quem reivindicar o One Piece e que quem o encontrar pode não ser aquele que Joy Boy esperava; riqueza acumulada não seleciona herdeiro nem decide destino.
H-01,contradiz,EV-0576-02,0.2,Roger ofereceu a Barba Branca a informação de como chegar a Laugh Tale e ele recusou porque seu sonho era ter uma família; a recusa mostra que o conteúdo não era universalmente desejável.
H-01,contradiz,EV-0393-05,0.2,"Avisados por Olvia de que a Marinha vinha, Clover e os arqueólogos decidiram não fugir de Ohara porque fugir significaria abandonar os tesouros da ilha, e esses tesouros são a biblioteca: a obra usa a palavra tesouro para acervo, e não para riqueza material."
H-02,apoia,EV-0506-01,0.45,"Roger usou suas palavras finais na execução pública para declarar que o One Piece pertence a quem conseguir encontrá-lo, e assim sozinho deu início à Grande Era dos Piratas: o anúncio, e não o conteúdo, é o que moveu o mundo."
H-02,apoia,EV-1085-03,0.35,"O ato de Lili de espalhar os Poneglyphs pelo mundo é tido como o que influenciou piratas a persegui-los em busca de tesouro, ou seja, a caçada nasce de um acidente histórico e não de uma propriedade do tesouro."
H-02,apoia,EV-0972-02,0.3,"Os Piratas de Roger aprenderam a verdadeira história e decidiram deixar tudo como estava, o que é coerente com um achado cujo valor não se transporta nem se gasta."
H-02,apoia,EV-0576-02,0.25,"Barba Branca recusou de Roger a informação de como chegar a Laugh Tale porque seu sonho era ter uma família, o que só faz sentido se o tesouro for algo que se pode dispensar sem perda prática."
H-02,apoia,EV-0972-01,0.25,"Ao aprender a verdadeira história Roger riu e declarou que gostaria de ter vivido na mesma época que Joy Boy: a reação é de identificação com uma pessoa, não de aquisição de um bem."
H-02,apoia,EV-0650-02,0.2,"Caribou, depois de descobrir que Shirahoshi é a arma ancestral Poseidon, tenta sequestrá-la no palácio e é impedido pelos Chapéus de Palha: foi a informação passar a circular, e não nenhuma propriedade nova da arma, que produziu efeito imediato no mundo."
H-02,apoia,EV-0396-04,0.2,"Olvia acusa as pessoas de temerem o passado sem sequer perguntar do que ele trata: o efeito sobre o mundo se produz sem que ninguém conheça o conteúdo, que é exatamente o mecanismo relacional desta hipótese."
H-02,apoia,EV-0968-04,0.4,"Foi o mundo, e não Roger, que deu o nome de One Piece ao conjunto de tudo o que ele obteve na viagem final: o nome nasce da repercussão pública do anúncio e não de nenhuma propriedade do que foi obtido."
H-02,apoia,EV-0969-01,0.2,"Ao receber a notícia da execução de Roger, Oden chorou e riu ao mesmo tempo, maravilhado com os feitos de Roger em vida: o riso na obra é reação de identificação com uma pessoa e com o que ela fez, e não aquisição de um bem."
H-02,apoia,EV-1056-03,0.2,"Caribou escuta escondido a conversa e decide levar a certa pessoa não identificada a informação sobre Pluton e sobre Poseidon: é a informação passar a circular, e não alguma propriedade das coisas nomeadas, que move alguém a agir."
H-02,contradiz,EV-1121-01,0.5,"Vegapunk afirma que o destino do mundo será decidido por quem conseguir reivindicar o One Piece, o que atribui ao objeto um poder causal que esta hipótese nega."
H-02,contradiz,EV-0576-01,0.3,"Barba Branca declarou que achar o One Piece desencadeará uma guerra indizível que engolfará o mundo inteiro, efeito grande demais para um valor apenas simbólico."
H-02,contradiz,EV-1122-02,0.25,"Joy Boy selou parte do seu Haki do Conquistador dentro de Emet atado em nó para ser liberado séculos depois, provando que ele deixava para o futuro coisas com efeito material, não apenas memória."
H-02,contradiz,EV-0966-01,0.2,Roger especulou que o Governo Mundial proíbe a pesquisa dos Poneglyphs para que ninguém chegue a Laugh Tale e encontre o que está escondido lá; não se monta uma política de estado de 800 anos contra uma lição de vida.
H-02,contradiz,EV-1066-04,0.25,"Shaka afirma que o Governo Mundial tentou apagar todo conhecimento do Reino Antigo com a intenção de que absolutamente ninguém carregasse os ideais dele: uma política de apagamento desse tamanho tem por alvo um conteúdo determinado, e não a repercussão de um anúncio."
H-03,apoia,EV-1125-02,0.4,"Vegapunk nunca conseguiu replicar a energia antiga que move o robô Emet, comum no Século Perdido, e a máquina só voltou à vida quando os Tambores da Libertação soaram: há precedente explícito de dispositivo antigo que espera um evento para ligar."
H-03,apoia,EV-0967-11,0.3,"A fala de Roger sobre a tripulação ter chegado cedo demais a Laugh Tale indica restrição temporal de acesso, compatível com algo que precisa ser ativado e ainda não podia ser."
H-03,apoia,EV-1065-01,0.3,"Vegapunk teoriza que o Reino Antigo era uma civilização tecnologicamente muito mais avançada que a do presente, o que torna plausível que tenha deixado um artefato funcional."
H-03,apoia,EV-1116-01,0.2,"Joy Boy teve papel na preservação das três armas ancestrais para que gerações futuras pudessem acessá-las e usá-las, mostrando o hábito de deixar coisas funcionais para o futuro."
H-03,apoia,EV-1138-06,0.3,"No Primeiro Mundo do Harley a chama que havia dentro da terra é escrita com o mesmo kanji usado para a Mother Flame, e o sol proibido tocado por ganância é lido como essa mesma chama: o eixo tecnológico volta ao texto profético, ligando energia antiga e catástrofe."
H-03,apoia,EV-0648-03,0.25,"Os Reis do Mar afirmam que Noah foi feita para ser puxada por eles e que isso lhes foi dito há muito tempo: é um artefato antigo cuja operação depende de uma condição externa combinada de antemão, precedente do mecanismo que esta hipótese atribui ao One Piece."
H-03,apoia,EV-0648-05,0.2,"Os Reis do Mar concluem que Noah pode ser consertada, mas que eles mesmos não conseguem fazê-lo e dependem da ajuda de outros: o artefato antigo está funcional apenas em potencial e aguarda uma condição que hoje não existe."
H-03,apoia,EV-0649-08,0.15,"Se os termos que a wiki descreve valerem, os habitantes da ilha construíram Noah para que o poder de Poseidon a erguesse até a superfície: seria um artefato com função definida que só opera quando existe a condição que lhe falta. Peso baixo porque o acordo pode ser interpolação."
H-03,apoia,EV-0621-04,0.15,A crença que a wiki atribui a Otohime e a Neptune é de que o propósito de Noah era a migração em massa dos habitantes da ilha para a superfície: o navio seria um artefato construído para uma função definida e nunca executada.
H-03,apoia,EV-0395-04,0.25,O poneglyph de Ohara ficou intacto depois que uma bomba foi detonada ao seu redor dentro da Árvore do Conhecimento: é demonstração em cena de material do Reino Antigo que a tecnologia atual não destrói nem replica.
